object size_keys(kB) size_values(kB) total(kB) nr_keys nr_values
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.14 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.112 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.17 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.37 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.79 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.96 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.111 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.65 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.13 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.24 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.56 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.76 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.114 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.11952995.1.0 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.66 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.64 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.1.119 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.115 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.84 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.81 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.109 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.78 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.62 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.15 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.14 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.91 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.90 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.14 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.78 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.49 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157518.2.105 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.9.118 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.84 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.110 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.7 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.35 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.109 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.4.23 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.63 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.13 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.5 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.126 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.4.10 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.10.15 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.40 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.236994.1.72 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.49 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.3 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.89 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.76 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.13 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.44 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.13 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6502332.1.12 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.18 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.69 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.67 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.1.125 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.75 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.229137.3.57 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.65 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.83 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.98 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.105 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.108 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157455.4.61 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.120859.1.108 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.5.80 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.46 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.95 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.7.63 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.125 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.28 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.18 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.3.49 0 0 0 0 0
.dir.853fd6cc-498f-4b9c-b07c-bcbafa94300b.94137.11.119 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.143420.1.102 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.160373.1.45 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.6402864.1.33 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.101 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157464.1.100 0 0 0 0 0
.dir.45d021f9-f2c3-463e-a4ce-fb0b02874cf4.157554.3.60 0 0 0 0 0
